id,title,popularity,release_date,launch Month,launch Year ,vote_average,vote_count
238,The Godfather,167.536,3/14/1972,3,1972,8.708,18991
278,The Shawshank Redemption,179.959,9/23/1994,9,1994,8.705,24985
240,The Godfather Part II,106.688,12/20/1974,12,1974,8.589,11467
424,Schindler's List,81.656,12/15/1993,12,1993,8.571,14813
19404,Dilwale Dulhania Le Jayenge,43.081,10/20/1995,10,1995,8.546,4282
389,12 Angry Men,66.507,4/10/1957,4,1957,8.545,7805
129,Spirited Away,104.619,7/20/2001,7,2001,8.54,15131
496243,Parasite,106.749,5/30/2019,5,2019,8.515,16684
155,The Dark Knight,127.08,7/16/2008,7,2008,8.514,30958
497,The Green Mile,100.097,12/10/1999,12,1999,8.509,16159
372058,Your Name.,112.597,8/26/2016,8,2016,8.505,10513
680,Pulp Fiction,86.057,9/10/1994,9,1994,8.488,26185
13,Forrest Gump,132.688,6/23/1994,6,1994,8.476,25699
122,The Lord of the Rings: The Return of the King,129.449,12/1/2003,12,2003,8.476,22601
429,"The Good, the Bad and the Ugly",103.095,12/23/1966,12,1966,8.47,7891
769,GoodFellas,94.772,9/12/1990,9,1990,8.466,11908
637,Life Is Beautiful,50.861,12/20/1997,12,1997,8.455,12364
12477,Grave of the Fireflies,0.6,4/15/1988,4,1988,8.454,4957
346,Seven Samurai,41.292,4/26/1954,4,1954,8.453,3295
11216,Cinema Paradiso,29.596,11/17/1988,11,1988,8.448,4016
667257,Impossible Things,14.018,6/17/2021,6,2021,8.442,360
696374,Gabriel's Inferno,15.039,5/29/2020,5,2020,8.441,2371
550,Fight Club,105.447,10/15/1999,10,1999,8.44,27556
539,Psycho,62.61,6/22/1960,6,1960,8.435,9411
598,City of God,38.653,8/30/2002,8,2002,8.433,6786
311,Once Upon a Time in America,47.551,5/23/1984,5,1984,8.429,4939
568332,Taylor Swift: Reputation Stadium Tour,27.047,12/31/2018,12,2018,8.428,311
724089,Gabriel's Inferno: Part II,15.6,7/31/2020,7,2020,8.425,1486
372754,Dou kyu sei – Classmates,15.456,2/20/2016,2,2016,8.422,328
510,One Flew Over the Cuckoo's Nest,61.497,11/19/1975,11,1975,8.421,9762
157336,Interstellar,170.639,11/5/2014,11,2014,8.42,32975
324857,Spider-Man: Into the Spider-Verse,155.277,12/6/2018,12,2018,8.406,14254
761053,Gabriel's Inferno: Part III,33.308,11/19/2020,11,2020,8.406,1028
120,The Lord of the Rings: The Fellowship of the Ring,124.683,12/18/2001,12,2001,8.405,23569
14537,Harakiri,28.806,9/15/1962,9,1962,8.405,860
4935,Howl's Moving Castle,99.836,9/9/2004,9,2004,8.404,8883
569094,Spider-Man: Across the Spider-Verse,448.515,5/31/2023,5,2023,8.403,4976
620249,The Legend of Hei,24.853,8/27/2019,8,2019,8.402,311
40096,A Dog's Will,9.737,9/15/2000,9,2000,8.4,1025
